Learnt Words

Word,Meaning,Part Of Speech,Sentences,$$hashKey
निकल,get out,verb,गौतम बुद्ध एक भिक्षु हो गये थे अत : दूसरे दिन प्रात : वे भिखापात्र हाथ में लेकर भिक्षा मांगने निकल पडे .The next morning the Buddha , as customary among monks , took his bowl and set out to beg .,object:1600
हिन्दुस्तानी,Hindustani,noun,भारत और पाकिस्तान के 1948 में अलग हो गए थे।India and Pakistan were separated in 1948.,object:1660
तूफानी,turbulent,adjective,हिंदू-मुस्लिम झगड़े आम तौर पर हमारे देश में तूफानी मचाते है।Hindu-Muslim fights usually cause turbulence in our country.,object:1676
तूफानी,turbulent,adjective,हिंदू-मुस्लिम झगड़े आम तौर पर हमारे देश में तूफानी मचाते है।Hindu-Muslim fights usually cause turbulence in our country.,object:1678
बैठ,sit,verb,मेरे एक कुर्सी पर बैठ रही हू।I am sitting on a chair.,object:1732
किनारे,Outskirts,noun,नदियों के किनारे आम तौर पर उपजाऊ रहे हैं।The banks of rivers are generally fertile.,object:1806
निशानी,mark,noun,मंगलसूत्र भारत में एक विवाहित महिला की निशानी है।Mangalsutra is the mark of a married woman in India.,object:1849
निशानी,mark,noun,मंगलसूत्र भारत में एक विवाहित महिला की निशानी है।Mangalsutra is the mark of a married woman in India.,object:1851
शहज़ादे,prince,noun,सभी प्रधानों राजा के सिंघासन के लिए लड़ाई करते हैAll princes fight for the king's throne.,object:1888
शहज़ादे,prince,noun,सभी प्रधानों राजा के सिंघासन के लिए लड़ाई करते हैAll princes fight for the king's throne.,object:1890
हैरानी,perplexity,noun,ऐसे में सेंधमारी कोई हैरानी की बात नहीं है .So perhaps the burglaries are n ' t much of a surprise .,object:1905
हैरानी,perplexity,noun,ऐसे में सेंधमारी कोई हैरानी की बात नहीं है .So perhaps the burglaries are n ' t much of a surprise .,object:1907
पहचानी,recognise,verb,मैं उसके बालों से मेरी माँ को पहचान सकते हैं। I can recognize my mother by her hair.,object:2008
